"Tournament";"Date"
"7. Dynamikum Winter-Open";"6.3.21"
"Reken Open";"6.3.21"
"Season Opening Peine im Heywoodpark 2021";"7.3.21"
"Ostpark Opener";"13.3.21"
"TREMONIA CLASSICS";"14.3.21"
"City Nord Season Opener 2021";"20.3.21"
"1. Münchner Gipfeltreffen";"27.3. - 28.3.21"
"7. Beckum Open";"27.3. - 28.3.21"
"Galgenbrack Open";"28.3.21"
"Spring Cup Im Wietzepark";"3.4.21"
"Easter Ace";"3.4.21"
"WUP Classics";"10.4.21"
"3. Gillbach Basic";"10.4.21"
"Bremen Open";"17.4. - 18.4.21"
"14. Waldschwimmbad Open";"24.4.21"
"9. RennbahnPark Open";"1.5. - 2.5.21"
"Women's Global Event German Edition + WGE";"8.5.21"
"TREMONIA OPEN";"22.5. - 24.5.21"
"6. Rizzi-Open";"29.5. - 30.5.21"
"Bad Fredeburg Open";"5.6. - 6.6.21"
"Ostpark Master";"12.6. - 13.6.21"
"14. Kellenhusen Open";"26.6. - 27.6.21"
"Summer Slam Voll.VIII";"3.7. - 4.7.21"
"16. Ostpark Open";"9.7. - 11.7.21"
"2. Sängerstadt Open";"21.8. - 22.8.21"
"11. Heuweilermer Dorf Challenge";"4.9. - 5.9.21"
"36. Deutsche Disc Golf Meisterschaft";"9.9. - 12.9.21"
"City Nord Open 2021";"18.9.21"
"5. DGCA Wanderheim Open";"24.9. - 26.9.21"
"4. Ilsede Originals";"3.10.21"
"14. Nikolaus Turnier (Rüsselsheim)";"27.11.21"
